Perfume,Marca,Acordes,Notas
Faberge Straw Hat,Brut Parfums Prestige,"Atalcado, Amaderado, Aromático, Fresco especiado, Rosas","Almizcle, Heliotropo, Limón de amalfi, Rosa, Pachulí, Sándalo, Lavanda, Violeta, Geranio"
Faberge Woodhue,Brut Parfums Prestige,"Amaderado, Cítrico, Atalcado, Floral blanco, Avainillado","Vanille, Naranja, Jazmín, Sándalo, Cedro de virginia, Cítricos, Bergamota"
Faberlic By Valentin Yudashkin,Faberlic,"Amaderado, Ámbar, Cálido especiado, Fresco especiado, Atalcado","Tabaco, Almizcle, Nuez moscada, Sandal, Hoja de laurel, Pachulí, Haba tonka, Sea notes, Toronja (pomelo), Hoja de tomate, Chocolate oscuro, Geranio, Mirra, Ámbar gris, Pino, Aldehídos, Ámbar, Cedro"
Faberlic By Valentin Yudashkin Gold,Faberlic,"Amaderado, Atalcado, Florales, Violeta, Cítrico, Verde, Ozónico, Almizclado, Cálido especiado, Avainillado","Naranja italiana, Hojas de violeta, Violeta, Heliotropo, Jacinto, Jazmín, Sándalo, Palisandro, Almizcle, Vetiver"
Faberlic By Valentin Yudashkin Rose,Faberlic,"Fresco, Florales, Acuático, Floral blanco, Almizclado","Cyclamen, Almizcle, Watery notes, Peonía, Pera, Lirio de los valles (muguete), Lirio de agua"
Fabio Verso Entusiasmo,Bi Es,"Amaderado, Afrutados, Floral blanco, Pachulí, Atalcado","Piña, Almizcle, Hojas de violeta, Peonía, Flor de algodón, Pachulí, Jazmín, Albaricoque, Vainilla, Limón (lima ácida), Frutas, Cedro"
Fabio Verso Ocean Fun,Bi Es,"Dulce, Afrutados, Coco, Tropical, Avainillado","Hoja de plátano, Almizcle, Sugar, Sándalo, Sea salt, Coco, Cotton candy, Limón (lima ácida), Piña, Ámbar"
Fable,Ellis Brooklyn,"Floral blanco, Cítrico, Afrutados, Amaderado, Verde","Madreselva, Neroli, Grosellas negras, Violeta, Petitgrain, Ámbar, Cedro"
Fables D'Orient,L'Artisan Parfumeur,"Ámbar, Atalcado, Fresco especiado, Iris, Avainillado, Florales, Almendrado, Almizclado, Cálido especiado, Violeta","Heliotropo, Nuez moscada, Iris, Ámbar, Mirra, Incienso de olíbano (franquincienso), Almizcle"
Fabulo Intense,Maison Alhambra,"Amaderado, Cuero, Almendrado, Avainillado, Ámbar, Aromático, Atalcado, Lavanda, Dulce, Nueces","Lavanda, Esclarea, Almendra amarga, Vainilla, Raíz de lirio, Cuero, Maderas blancas, Haba tonka, Cachemira, Ámbar"
Fabulous,Tom Ford,"Aromático, Cuero, Avainillado, Almendrado, Amaderado, Ámbar, Lavanda, Dulce, Atalcado, Animálico","Lavanda, Esclarea, Cuero, Almendra amarga, Vainilla, Raíz de lirio, Cuero, Haba tonka, Cachemira, Maderas blancas, Ámbar"
Fabulous,Victoria S Secret,"Afrutados, Dulce, Avainillado, Atalcado, Florales","Almizcle, Benjuí, Fresia rosa, Grosella roja, Albaricoque, Vainilla, Osmanto (olivo oloroso), Hojas de violeta, Crema batida, Mandarin orange, Sándalo australiano, Lirio de los valles (muguete), Jazmín sambac"
Fabulous 1 Dali,Salvador Dali,"Floral blanco, Ámbar, Verde, Atalcado, Amaderado","Acordes verdes, Bergamota, Almizcle, Jazmín, Ámbar, Vanille, Lirio, Mandarin orange, Lirio de los valles (muguete), Narcissus, Benjuí, Myrhh, Rosa, Nardos, Sándalo, Albahaca, Iris, Cedro de virginia, Fruity notes, Aldehídos, Flor de azahar africana"
Fabulous 2 Dalissime,Salvador Dali,"Afrutados, Dulce, Atalcado, Rosas, Amaderado","Melocotón (durazno), Almizcle, Vanille, Rosa, Jazmín, Albaricoque, Sándalo, Lirio de los valles (muguete), Frambuesa"
Fabulous Bukhara,Salvador Dali,"Dulce, Amaderado, Cálido especiado, Amielado, Afrutados","Benjuí, Rosa, Haba tonka, Spices, Ebony, Miel, Helecho, Frutas secas"
Fabulous In Paradise,Victoria S Secret,"Florales, Floral amarillo, Tropical, Atalcado, Lactónico","Frangipani, Mimosa, Coco"
Fabulous Korynthia,Salvador Dali,"Rosas, Ámbar, Afrutados, Oud, Avainillado","Rosa, Vainilla, Rose petals, Fruity notes, Madera de oud, Maderas preciosas, Ámbar"
Fabulous Life,Fragrance World,"Amaderado, Cuero, Almendrado, Ámbar, Aromático, Avainillado, Atalcado, Lavanda, Dulce, Nueces","Lavanda, Esclarea, Almendra amarga, Cuero, Vainilla, Raíz de lirio, Maderas blancas, Cuero, Haba tonka, Cachemira, Ámbar"
Fabulous Mandawa,Salvador Dali,"Cuero, Amaderado, Afrutados, Dulce, Animálico","Cuero, Almizcle, Azafrán, Frambuesa, Violeta, Maderas preciosas, Cedro"
Fabulous Marudhai,Salvador Dali,"Ámbar, Amaderado, Atalcado, Rosas, Pachulí","Rosa, Pachulí, Vainilla, Sándalo, Ámbar, Cedro"
Fabulous Me,Paco Rabanne,"Amaderado, Atalcado, Afrutados, Dulce, Cálido especiado","Sándalo, Calabaza, Rhubarb"
Fabulous Me,Rabanne,"Amaderado, Atalcado, Afrutados, Dulce, Cálido especiado, Verde, Aromático","Calabaza, Ruibarbo, Sándalo"
Fabulous Parfum,Tom Ford,"Ámbar, Cuero, Avainillado, Animálico, Aromático, Dulce, Amaderado, Fresco especiado","Notas aromáticas, Haba tonka, Ámbar, Cuero, Abeto balsámico, Notas balsámicas"
Fabulous Purple Violet,Benetton,"Afrutados, Amaderado, Violeta, Cítrico, Dulce, Atalcado, Fresco, Cuero","Notas afrutadas, Cítricos, Violeta, Notas amaderadas, Cuero"
Fabulous Secret,In The Box,"Cuero, Almendrado, Ámbar, Aromático, Avainillado","Cuero, Raíz de lirio, Cachemira, Haba tonka, White wood, Vainilla, Lavanda, Almendra amarga, Esclarea, Ámbar"
Fabulous Srinagar,Salvador Dali,"Dulce, Atalcado, Almizclado, Afrutados, Avainillado","Suede, Almizcle, Rosa, Ciruela, Sándalo, Litchi, Vanilla bean, Kulfi"
Fabulous Sweet,Zara,"Dulce, Avainillado, Nardos, Floral amarillo, Floral blanco","Ylang-ylang, Pachulí, Haba tonka, Nardos, Vainilla, Mandarin orange, Pera, Agua de coco, Pimienta rosa"
Fabulous Yuzu,Mancera,"Cítrico, Avainillado, Aromático, Dulce, Verde, Atalcado, Amaderado, Florales, Floral amarillo","Yuzu, Limón (lima ácida), Mandarina, Canela, Raíz de vetiver, Mimosa, Jazmín, Vainilla, Sándalo de mysore, Haba tonka"
Face A Face Pour Femme,Faconnable,"Floral blanco, Amaderado, Iris, Fresco, Atalcado","Pachulí, Jazmín, Rosa turca, Lirio de los valles (muguete), Iris, Ámbar, Coriander, Cedro"
Faces Ilimitada,Natura,"Afrutados, Florales, Dulce, Cítrico, Amaderado","Cassis, Melocotón (durazno), Almizcle, Jazmín, Mango, Kumquat, Sándalo, Fresia, Mandarin orange, Pera, Iris, Ámbar, Magnolia, Cedro"
Faces Intensa,Natura,"Afrutados, Dulce, Caramelo, Avainillado, Atalcado","Red berries, Melocotón (durazno), Vanille, Almizcle, Gardenia, Albaricoque, Caramelo, Piña"
Faces Of Francis,Vilhelm Parfumerie,"Amaderado, Cálido especiado, Ámbar, Oud, Aromático, Metálico, Terrosos, Aldehídico, Cuero, Fresco especiado","Azafrán, Aldehídos, Pistacho (pistache), Trozos de madera a la deriva, Enebro de virginia, Madera de oud, Styrax, Ámbar gris, Vetiver, Cipriol (nagarmota)"
Faconnable,Faconnable,"Floral blanco, Aromático, Fresco especiado, Cítrico, Verde","Almizcle, Flor de azahar del naranjo, Rosa, Jazmín, Menta, Sándalo, Mandarin orange, Geranio, Ámbar"
Faconnable,Façonnable,"Floral blanco, Aromático, Fresco especiado, Cítrico, Verde, Rosas, Atalcado, Amaderado, Almizclado, Cálido especiado","Menta, Flor de azahar del naranjo, Mandarina, Jazmín, Geranio, Rosa, Sándalo, Almizcle, Ámbar"
Faconnable Femme,Faconnable,"Floral blanco, Atalcado, Afrutados, Avainillado, Almizclado","Almizcle, Gardenia, Heliotropo, Peonía, Jazmín, Ciruela, Vainilla, Passionfruit, Mandarin orange"
Faconnable Homme,Faconnable,"Aromático, Amaderado, Marino, Atalcado, Almizclado","Almizcle, Flor de azahar del naranjo, Pelargonio, Jazmín, Vainilla de bourbon, Menta, Sea notes, Sándalo, Damask rose, Mandarin orange, Melón, Ámbar, Cedro"
Faconnable Pour Homme,Faconnable,"Fresco especiado, Aromático, Amaderado, Lavanda, Verde","Nuez moscada, Menta, Sándalo, Mandarin orange, Lavanda, Romero, Musgo de roble, Geranio, Cedro"
Faconnable Royal Eau De Parfum,Faconnable,"Aromático, Amaderado, Fresco especiado, Marino, Lavanda","Agua de mar, Nuez moscada, Moss, Haba tonka, Sándalo, Lavanda, Bergamota, Geranio, Cedro"
Faconnable Stripe,Faconnable,"Aromático, Fresco especiado, Cálido especiado, Cítrico, Verde","Nuez moscada, Canela, Menta, Cedro del atlas, Cardamomo, Bergamota, Almizcle blanco, Ámbar"
Factory Edition: Camp Fire,Paris Corner,"Amaderado, Balsámico, Avainillado, Ámbar, Cálido especiado, Atalcado, Nueces, Aromático","Clavos de olor, Pimienta rosa, Flor de azahar del naranjo, Madera de gaiac, Castaña, Enebro de virginia, Vainilla, Bálsamo del perú, Cachemira"
Factory Edition: Rich Santal,Paris Corner,"Amaderado, Atalcado, Cálido especiado, Cuero, Violeta, Iris","Violeta, Cardamomo, Papiro de egipto, Iris, Ámbar, Sándalo, Cuero, Cedro"
Factory Fresh,Xyrena,"Cuero, Animálico, Ahumado, Pegamento industrial","Cuero, Pegamento industrial"
Fade Denim Edit,Armaf,"Cítrico, Fresco especiado, Aromático, Afrutados, Amaderado, Avainillado, Ámbar, Verde, Atalcado, Rosas","Mandarina, Bergamota, Manzana verde, Geranio, Musgo de roble, Vainilla, Cedro, Ámbar"
Fadeitak,Swiss Arabian,"Ámbar, Amaderado, Cálido especiado, Almizclado, Fresco especiado","Almizcle, Animal notes, Pimienta, Notas amaderadas, Ámbar"
Fadin,Thera Cosmeticos,"Cálido especiado, Afrutados, Aromático, Cuero, Almizclado","Cuero, Almizcle, Salvia, Pera, Jengibre, Geranio"
Fading Autumn Scented Water,Gucci,"Amaderado, Terrosos, Pachulí, Cálido especiado, Atalcado","Cipriol (nagarmota), Cedro, Sándalo, Pachulí"
Fado Jasmim,Miguel Matos,"Floral blanco, Afrutados, Dulce, Animálico, Ámbar, Almizclado, Tropical, Atalcado, Nardos, Verde","Plátano, Maracuyá (fruta de la pasión), Ciruela, Hojas del limonero, Jazmín sambac (sampaguita), Indol, Durazno (melocotón), Nardos, Rosa, Algalia (civet), Ámbar gris, Coco, Almizcle, Ámbar, Cumarina, Musgo de roble, Madera de oud"
Fae,Scent Trunk,"Dulce, Avainillado, Afrutados, Atalcado, Tropical, Coco","Plátano, Malvavisco (bombón), Pera, Notas dulces, Coco, Vainilla, Haba tonka"
Faerie Queen,4160 Tuesdays,"Cítrico, Atalcado, Amaderado, Avainillado, Iris, Violeta, Ámbar, Fresco, Fresco especiado, Aromático","Vainilla, Kumquat (naranja enana), Violeta, Naranja, Raíz de lirio, Jazmín, Rosa, Styrax, Abeto, Almizcle"
Faerie Queen,Alkemia Perfumes,"Terrosos, Dulce, Afrutados, Amaderado, Aromático, Amielado, Fresco especiado, Cálido especiado, Oud, Musgoso","Fresa, Helecho, Miel, Trufa, Madera de oud, Pachulí, Musgo de roble, Roble, Azafrán"
Fahrenheit,Dior,"Cuero, Amaderado, Ozónico, Fresco especiado, Animálico","Cuero, Nuez moscada, Madreselva, Bergamota, Hawthorn, Almizcle, Jazmín, Limón (lima ácida), Ámbar, Hojas de violeta, Vetiver, Mandarin orange, Lavanda, Clavel, Lirio de los valles (muguete), Flor de nuez moscada, Pachulí, Haba tonka, Manzanilla, Sándalo, Cedro"
Fahrenheit 0 Degree,Dior,"Amaderado, Cítrico, Atalcado, Fresco especiado, Florales","Alcaravea, Almizcle, Nuez moscada, Cuero, Pachulí, Sándalo, Toronja (pomelo), Fresia, Mandarin orange, Violeta, Ámbar, Cedro"
Fahrenheit 32,Dior,"Avainillado, Floral blanco, Dulce, Cítrico, Aromático, Amaderado, Terrosos, Atalcado, Jabonoso","Flor de azahar del naranjo, Vetiver, Vainilla"
Fahrenheit Absolute,Dior,"Ámbar, Balsámico, Ahumado, Violeta, Cálido especiado, Oud, Atalcado","Incienso, Mirra, Violeta, Madera de oud"
Fahrenheit Cologne,Dior,"Cítrico, Amaderado, Violeta, Fresco especiado, Aromático, Atalcado, Florales, Terrosos","Bergamota de calabria, Mandarina siciliana, Limón (lima ácida), Violeta francesa, Pachulí, Vetiver de haití, Nuez moscada, Cedro de virginia, Alcaravea"
Fahrenheit Le Parfum,Dior,"Avainillado, Ozónico, Especiado suave, Ron, Acuático, Cuero, Atalcado, Dulce, Almizclado, Cítrico","Gamuza, Regaliz, Mandarina siciliana, Hojas de violeta, Ron, Cilantro, Comino, Vainilla bourbon"
Fahrenheit Summer,Dior,"Amaderado, Cítrico, Atalcado, Florales, Violeta","Pachulí, Sándalo, Toronja (pomelo), Fresia, Mandarin orange, Violeta, Ámbar, Cedro"
Fahrenheit Summer 2006,Dior,"Cítrico, Amaderado, Pachulí, Cálido especiado, Atalcado, Balsámico, Fresco especiado, Aromático","Sándalo, Pachulí, Mandarina, Bergamota"
Fahrenheit Summer 2007,Dior,"Amaderado, Florales, Atalcado, Violeta, Cítrico, Pachulí, Ámbar, Fresco, Cálido especiado","Violeta, Fresia, Cítricos, Cedro, Pachulí, Sándalo, Ámbar"
Fainting Spell,Poesie,"Dulce, Nueces, Aromático, Amaderado, Lactónico","Galleta, Avellana, Conde té gris, Leche"
Fairest Of Them All,Elysian,"Aromático, Afrutados, Dulce, Fresco, Atalcado, Violeta, Marino, Verde, Especiado suave, Almizclado","Casis (grosellero negro), Manzana roja, Notas marinas, Violeta, Peonía, Pera, Azúcar moreno, Maderas rubias, Almizcle, Haba tonka, Caramelo"
Fairouz,Arabian Oud,"Cítrico, Avainillado, Florales, Amaderado, Atalcado, Dulce","Mandarina italiana, Magnolia, Vainilla, Cedro"
Fair Play,Adidas,"Amaderado, Violeta, Cálido especiado, Lavanda, Atalcado, Aromático, Ámbar, Pachulí, Florales, Fresco especiado","Violeta, Lavanda, Madera de teca, Cardamomo, Ámbar, Pachulí"
Fairy,Nuancielo,"Rosas, Florales, Fresco, Afrutados, Amaderado","Almizcle, Nuez moscada, Petalia, Cachemira, Peonía, Vainilla, Vetiver, Turkey red rose, Litchi, Rhubarb, Bergamota, Cedro"
Fairy Dust,Paris Hilton,"Floral blanco, Florales, Almizclado, Atalcado, Lactónico, Fresco, Dulce, Animálico, Avainillado, Afrutados","Peonía, Flor de azahar del naranjo, Gardenia, Durazno (melocotón), Flor de loto, Almizcle, Vainilla, Pachulí"
Fairy Juice,Nafnaf,"Afrutados, Dulce, Cítrico, Floral blanco, Atalcado","Melocotón (durazno), Flor de tiaré, Rhuburb, Vanille, Almizcle, Rosa, Jazmín, Haba tonka, Mandarin orange, Lirio de los valles (muguete), Cedro de virginia, Grosellas negras"
Fairy Juice Green,Nafnaf,"Florales, Afrutados, Verde, Amaderado, Almizclado","Cassis, Cachemira, Manzana, Lotus, Rosa, Cedro, Almizcle blanco, Magnolia, Yuzu"
Fairy Land,Adopt Parfums,"Avainillado, Dulce, Afrutados, Floral blanco, Acuático","Pera, Jazmín, Vainilla"
Fairy Love,Escada,"Afrutados, Dulce, Nueces, Floral blanco, Cítrico, Amaderado, Acuático","Pera nashi, Frambuesa, Naranja, Jazmín, Avellana"
Fairytale,Bath & Body Works,"Floral blanco, Ámbar, Avainillado, Dulce, Cítrico, Amaderado, Atalcado, Animálico, Afrutados, Jabonoso","Flor de azahar del naranjo, Ámbar, Vainilla, Granada"
Fairy Tale,Maison Asrar,"Verde, Afrutados, Fresco, Floral blanco, Florales, Acuático, Marino, Ozónico, Dulce, Almizclado","Notas verdes, Notas afrutadas, Sandía, Lirio de los valles (muguete), Manzana, Notas acuáticas, Notas florales, Almizcle, Musgo, Sándalo"
Faisa,Ramon Monegal,"Cálido especiado, Oud, Dulce, Rosas, Afrutados","Anise, Canela, Ylang-ylang, Azafrán, Rosa, Jazmín, Haba tonka, Vainilla, Sándalo, Caramelo, Madera de oud, Limón (lima ácida), Mimosa, Ámbar, Frambuesa"
Faith,Al Haramain,"Florales, Dulce, Marino, Aromático, Salado, Acuático","Notas florales, Notas dulces, Notas marinas"
Faith,Boadicea The Victorious,"Cálido especiado, Ozónico, Fresco especiado, Acuático, Amaderado, Herbal, Dulce, Terrosos, Cuero, Tabaco","Azafrán, Nuez moscada, Mandarina, Davana, Hojas de violeta, Siempreviva, Rosa, Cipriol (nagarmota), Ámbar, Sándalo, Almizcle, Vainilla, Musgo de roble"
Faith For Fantasy,Philly&Phill,"Almizclado, Ámbar, Atalcado, Amaderado, Animálico","Almizcle blanco, Ámbar, Cedro, Almizcle, Almizcle gris, Almizcle negro"
Fake Love,Richard,"Afrutados, Dulce, Fresco, Ozónico, Verde","Durazno (melocotón), Piña, Melón, Hojas del grosellero negro, Frambuesa, Rosa de bulgaria (rosa damascena de bulgaria), Flores blancas, Jazmín, Almizcle, Ámbar, Cedro, Vainilla"
Fakhama,Maison Asrar,"Floral blanco, Dulce, Avainillado, Cítrico, Atalcado, Almizclado, Animálico","Acuerdo goloso, Flor del naranjo africano, Vainilla, Flores blancas, Almizcle"
Fakhama,The Spirit Of Dubai,"Cálido especiado, Afrutados, Ámbar, Dulce, Animálico, Amaderado, Oud, Almizclado, Rosas, Cuero","Frutos secos, Madera de oud, Rosa turca, Rosa de bulgaria (rosa damascena de bulgaria), Rosa de damasco, Notas afrutadas, Notas especiadas, Naranja dulce, Elemí, Cardamomo, Café, Rosa, Azafrán, Benjuí, Vainilla, Sándalo, Cilantro, Pachulí, Vetiver, Jengibre, Notas de animal, Caramelo hilado, Algalia (civet), Incienso, Ámbar, Castóreo, Cuero, Musgo, Musgo de roble"
Fakhar Al Oud,Ard Al Zaafaran,"Amaderado, Cálido especiado, Avainillado, Atalcado, Oud, Fresco especiado, Ámbar","Azafrán, Madera de oud, Cipriol (nagarmota), Nuez moscada, Bálsamo de gurjum, Madera de gaiac, Sándalo, Cedro, Pachulí, Jazmín, Vainilla, Ámbar, Haba tonka, Almizcle"
Fakhar Black,Lattafa Perfumes,"Aromático, Fresco especiado, Amaderado, Afrutados, Fresco, Cítrico, Lavanda, Ámbar, Verde, Herbal","Manzana, Bergamota, Jengibre, Lavanda, Salvia, Bayas de enebro, Geranio, Haba tonka, Cedro, Amberwood, Vetiver"
Fakhar Extrait,Lattafa Perfumes,"Ámbar, Nardos, Floral blanco, Animálico, Almizclado, Cítrico, Aromático, Cálido especiado, Amaderado, Cuero","Toronja (pomelo), Cardamomo, Pimienta rosa, Nardos, Notas solares, Abrótano, Ámbar, Cachemira, Cuero, Ládano"
Fakhar Lattafa,Lattafa Perfumes,"Afrutados, Floral blanco, Dulce, Cítrico, Amaderado, Atalcado, Avainillado, Rosas, Pachulí, Fresco","Durazno (melocotón), Pera, Naranja, Manzana, Grosellas negras, Flor de azahar del naranjo, Rosa, Jazmín sambac (sampaguita), Vainilla, Pachulí, Madera de sándalo, Almizcle"
Fakhar Platin,Lattafa Perfumes,"Amaderado, Fresco especiado, Cítrico, Aromático, Cálido especiado, Lavanda, Afrutados, Fresco, Ámbar, Tropical","Bergamota, Pimienta rosa, Cardamomo, Guayaba, Lavanda, Jengibre, Incienso, Palo santo, Sándalo"
Fakhar Rose,Lattafa Perfumes,"Floral blanco, Afrutados, Nardos, Dulce, Amaderado, Animálico, Florales","Frutas, Azucena, Granada, Aldehídos, Nardos, Jazmín, Gardenia, Ylang-ylang, Madreselva, Rosa, Peonía, Vainilla, Almizcle blanco, Sándalo, Ambroxan"
Fakher Elnesa,Al Rehab,"Florales, Cálido especiado, Amaderado, Ámbar, Almizclado","Notas orientales, Notas florales, Notas amaderadas"
Fakhrul Arab,Al Haramain,"Cálido especiado, Amaderado, Florales, Oud, Atalcado, Metálico, Ámbar, Cuero","Azafrán, Sándalo, Notas florales, Madera de oud, Notas especiadas, Notas amaderadas, Ámbar, Vainilla"
Fakhrul Arab Silver,Al Haramain,"Oud, Ámbar, Cálido especiado, Fresco especiado, Avainillado, Atalcado, Amaderado, Aromático","Madera de oud, Ámbar, Vainilla, Notas especiadas, Notas amaderadas, Azafrán, Geranio, Notas florales, Almizcle, Rosa"
Fakhrul Oudh,Al Aneeq,"Avainillado, Amaderado, Ámbar, Atalcado, Almizclado","Almizcle, Nuez moscada, Madera de gaiac, Gurjan balsam, Azafrán, Pachulí, Jazmín, Haba tonka, Sándalo, Vainilla, Cypriol oil or nagarmotha, Ámbar, Cedro"
Falcon Leather,Matiere Premiere,"Cuero, Ámbar, Cálido especiado, Oud, Ahumado, Metálico, Animálico, Tabaco","Azafrán, Ládano, Alquitrán del abedul, Madera de oud, Benjuí"
Falcon Leather Extrait,Matiere Premiere,"Cuero, Cálido especiado, Ámbar, Ahumado, Metálico, Animálico","Azafrán, Alquitrán del abedul, Ládano, Benjuí"
Falcon X Aslan Gülçiçek,Czar,"Ámbar, Cuero, Pachulí, Cálido especiado, Amaderado, Animálico, Fresco especiado, Balsámico, Terrosos, Ahumado","Incienso de olíbano (franquincienso), Cuero, Pachulí"
Falkar,Bvlgari,"Amaderado, Oud, Cálido especiado, Fresco especiado, Almizclado","Nuez moscada, Canela, Azafrán, Olíbano, Cypriol oil or nagarmotha, Almizcle negro, Madera de oud"
Fall,Criminal Elements,"Canela, Cálido especiado, Cuero, Ámbar, Ahumado, Avainillado, Musgoso, Amaderado, Terrosos, Atalcado","Canela, Abedul, Ámbar, Vainilla, Musgo de roble"
Fall Cashmere,Skylar,"Cálido especiado, Canela, Almendrado, Avainillado, Atalcado, Ámbar, Amaderado, Fresco especiado, Afrutados, Nueces","Almendra, Jengibre, Canela, Clavo de olor, Té matcha, Vainilla, Sándalo, Ámbar, Almizcle blanco"
Fall In Bloom,Bath & Body Works,"Afrutados, Florales, Musgoso, Fresco, Dulce, Terrosos, Herbal","Ciruela, Flor silvestre, Musgo"
Fall In Bloom,Bath Body Works,"Afrutados, Florales, Musgoso, Dulce, Fresco","Flores silvestres, Ciruela, Moss"
Falling In Love,Emper,"Avainillado, Florales, Almendrado, Nardos, Atalcado, Dulce, Iris, Floral blanco, Almizclado, Nueces","Leche de almendras, Almizcle ambreta, Almizcle ambreta, Iris, Rosa, Fresia, Nardos, Vainilla, Haba tonka, Almizcle blanco"
Falling In Love,Philosophy,"Afrutados, Avainillado, Dulce, Floral blanco, Almizclado, Atalcado, Violeta","Zarzamora (frambuesa negra), Vainilla, Almizcle, Jazmín, Lirio de los valles (muguete)"
Falling In Love With Neroli Iris,Avon,"Cítrico, Floral blanco, Aromático, Verde, Iris","Almizcle, Benjuí, Neroli essence, Flor de azahar del naranjo, Orris, Vetiver, Mandarin orange, Limón (lima ácida), Petitgrain"
Falling Into The Sea,Imaginary Authors,"Cítrico, Florales, Arena, Aromático, Fresco especiado, Afrutados, Fresco","Limón (lima ácida), Toronja (pomelo), Lichi, Arena, Notas de flores exóticas, Bergamota"
Falling Stars,Sorce,"Avainillado, Café, Cálido especiado, Dulce, Atalcado, Amaderado","Vaina de vainilla, Café, Haba tonka, Sándalo, Crema de almendras, Madera de oud, Palo santo"
Falling Trees,Régime Des Fleurs,"Amaderado, Ámbar, Aromático, Balsámico, Terrosos, Cálido especiado, Fresco especiado, Ahumado, Musgoso","Roble, Enebro de virginia, Incienso, Mirra, Cipriol (nagarmota), Benjuí, Elemí, Musgo"
Fall In Love Orange,Al Haramain,"Floral blanco, Cítrico, Ámbar, Dulce, Amaderado, Avainillado","Naranja, Pimienta rosa, Avellana, Flor de azahar del naranjo, Jazmín, Jengibre, Ámbar, Madera de cachemira, Vainilla, Sándalo"
Fall Into Stars,Strangelove,"Oud, Amaderado, Floral amarillo, Dulce, Balsámico, Avainillado, Verde, Ámbar, Especiado suave","Oud indio, Palisandro, Narciso, Vainilla, Pimienta rosa"
Fall Into Stars Oil,Strangelove,"Cálido especiado, Oud, Ámbar, Floral amarillo, Amaderado, Balsámico, Rosas, Verde, Metálico, Dulce","Madera de oud, Narciso, Palisandro, Azafrán, Benjuí, Rosa, Pimienta rosa, Alheña, Bergamota, Jengibre"
Fall Of Phaeton,Argos,"Cítrico, Fresco especiado, Aromático, Avainillado, Ámbar, Cálido especiado, Cuero, Almizclado, Dulce, Fresco","Jengibre, Cardamomo, Limón (lima ácida), Bergamota, Pimienta rosa, Ládano, Lavanda, Madera de oud, Cuero, Haba tonka, Vainilla, Almizcle"
Fame,Corday,"Floral blanco, Florales, Ámbar, Floral amarillo, Dulce","Algalia (civet), Tabaco, Ylang-ylang, Bergamota, Orquídea, Jazmín sambac, Peru balsam, Almizcle, Tea, Lila, Lime, Musgo de roble, Ámbar, Gardenia, Beeswax, Spicy notes, Vetiver, Clavel, Lirio de los valles (muguete), Narcissus, Ládano, Cloves, Benjuí, Flor de azahar del naranjo, Galbanum, Acácia, Pachulí, Haba tonka, Nardos, Sándalo, Hyacinth, Iris, Flor de lima, Miel, Aldehídos"
Fame,Lady Gaga,"Florales, Amielado, Dulce, Afrutados, Ámbar, Cálido especiado, Atalcado, Ahumado, Floral blanco, Lactónico","Incienso, Belladona, Azafrán, Miel, Chabacano, Orquídea, Jazmín"
Fame,Paco Rabanne,"Tropical, Avainillado, Afrutados, Dulce, Amaderado","Jazmín, Mango, Vainilla, Olíbano, Sándalo, Bergamota"
Fame,Rabanne,"Tropical, Afrutados, Avainillado, Dulce, Amaderado, Floral blanco, Atalcado, Terpénico, Ámbar, Fresco especiado","Mango, Bergamota, Jazmín, Incienso de olíbano (franquincienso), Vainilla, Sándalo"
Fame,Rasasi,"Amaderado, Cuero, Cálido especiado, Animálico, Terrosos, Pachulí, Avainillado, Ámbar, Aromático, Balsámico","Azafrán, Pachulí, Cedro, Cuero, Ámbar gris, Vainilla, Vetiver"
Fame Blooming Pink,Paco Rabanne,"Tropical, Avainillado, Afrutados, Dulce, Floral blanco","Jazmín, Mango, Vainilla, Olíbano, Sándalo, Bergamota"
Fame Blooming Pink,Rabanne,"Tropical, Afrutados, Avainillado, Dulce, Floral blanco, Amaderado, Cítrico, Atalcado, Fresco especiado, Ámbar","Mango, Bergamota, Jazmín, Incienso de olíbano (franquincienso), Vainilla, Sándalo"
Fame Couture,Paco Rabanne,"Iris, Atalcado, Avainillado, Violeta, Ámbar, Amaderado, Ahumado, Balsámico, Terrosos, Floral blanco","Incienso, Agua de coco, Bergamota, Iris, Jazmín sambac (sampaguita), Wolfwood, Vainilla, Sándalo australiano, Almizcle"
Fame Couture,Rabanne,"Iris, Atalcado, Avainillado, Violeta, Ámbar, Amaderado, Ahumado, Balsámico, Terrosos, Floral blanco","Incienso, Agua de coco, Bergamota, Iris, Jazmín sambac (sampaguita), Wolfwood, Vainilla, Sándalo australiano, Almizcle"
Fame Feline,Paco Rabanne,"Tropical, Floral blanco, Ámbar, Afrutados, Ahumado, Dulce, Balsámico, Cálido especiado, Terpénico, Florales","Mango, Jazmín, Incienso"
Fame In Love,Paco Rabanne,"Afrutados, Dulce, Avainillado, Cítrico, Mineral, Floral blanco, Fresco especiado","Fresa, Mandarina verde, Albahaca, Jazmín, Incienso, Raíz de lirio, Absoluto de vainilla, Notas minerales, Pachulí"
Fame Intense,Paco Rabanne,"Amaderado, Floral blanco, Atalcado, Cálido especiado, Ámbar, Ahumado, Balsámico, Almizclado","Agua de coco, Pimienta rosa, Bergamota, Jazmín, Incienso, Ylang-ylang, Sándalo, Almizcle, Cedro de virginia"
