Perfume,Marca,Acordes,Notas
Universe Pour Homme,Iceberg,"Amaderado, Aromático, Cítrico, Cálido especiado, Fresco especiado, Pachulí, Cuero, Atalcado, Verde, Balsámico","Albahaca, Abedul, Bergamota, Limón de amalfi (lima de amalfi), Mandarina, Palisandro, Cilantro, Cardamomo, Jazmín, Sándalo, Pachulí, Cedro de virginia"
Universe Terra,We Pink,"Ozónico, Afrutados, Acuático, Florales, Floral blanco, Dulce, Fresco, Ámbar, Tropical, Atalcado","Sandía, Kiwi, Flor del peral, Fresa, Madreselva, Margarita, Lirio de los valles (muguete), Orquídea, Ámbar"
Universe Vênus,We Pink,"Rosas, Ámbar, Afrutados, Dulce, Cálido especiado, Florales, Avainillado, Almizclado","Frambuesa, Lichi, Rosa de damasco, Benjuí, Almizcle"
Universo,Coty,"Aromático, Fresco especiado, Cítrico, Verde, Amaderado, Floral blanco, Especiado suave","Notas verdes, Piña, Bergamota, Lavanda, Romero, Gálbano, Neroli, Limón (lima ácida), Geranio de olor, Esclarea, Cilantro, Jazmín, Cedro, Ámbar, Almizcle"
Universo Privato,Alberto Allegretti,"Amaderado, Aromático, Cítrico, Pachulí, Alcanforados, Verde, Fresco, Cálido especiado, Violeta, Rosas","Limón siciliano (lima siciliana), Tuya (árbol de la vida), Hierba, Eucalipto, Estragón, Violeta, Comino, Pachulí, Rosa"
Universum,Brocard,"Balsámico, Acerezado, Ámbar, Almendrado, Nueces, Amaderado, Afrutados, Rosas, Floral blanco, Florales","Cereza negra, Almendra amarga, Licor de cereza, Jazmín sambac (sampaguita), Rosa turca, Bálsamo del perú, Haba tonka"
Un Jardin,Maison Viegas,"Cítrico, Florales, Fresco especiado, Aromático, Afrutados, Verde, Tropical, Atalcado, Dulce, Ámbar","Toronja (pomelo), Mango verde, Tomate, Zanahoria, Flor de loto, Naranja, Jacinto, Peonía, Incienso, Almizcle, Ládano, Iris, Canela"
Un Jardin A Paris,Jean Couturier,"Cítrico, Floral blanco, Atalcado, Amaderado, Ámbar, Dulce, Avainillado, Afrutados, Floral amarillo, Almizclado","Bergamota, Mandarina, Limón de amalfi (lima de amalfi), Yuzu, Durazno (melocotón), Jazmín, Ylang-ylang, Azucena, Ámbar, Vainilla, Sándalo, Almizcle"
Un Jardin A Paris,Korloff Paris,"Floral blanco, Nardos, Verde, Floral amarillo, Animálico, Dulce","Ylang-ylang, Ruibarbo, Flor de azahar del naranjo, Nardos, Gardenia, Jazmín, Almizcle, Incienso, Pachulí"
Un Jardin Apres La Mousson,Hermès,"Fresco especiado, Cálido especiado, Aromático, Fresco, Acuático, Cítrico, Especiado suave","Jengibre, Flor de jengibre, Cardamomo, Pimienta, Cilantro, Notas acuáticas, Cítricos, Vetiver, Notas florales, Ginger lily blanca"
Un Jardin À Cythère,Hermès,"Amaderado, Cítrico, Verde, Fresco, Nueces","Cítricos, Pistacho (pistache), Olivo, Acordes verdes"
Un Jardin D'Apothicaire,The Unleashed Apothecary,"Floral blanco, Atalcado, Violeta, Nardos, Iris, Avainillado, Floral amarillo, Dulce, Amaderado, Florales","Nardos, Violeta, Lirio de los valles (muguete), Iris, Ylang-ylang, Haba tonka, Vainilla, Jazmín"
Un Jardin En Méditerranée,Hermès,"Aromático, Amaderado, Cítrico, Verde, Fresco especiado, Fresco, Dulce, Florales, Floral blanco","Bergamota, Limón (lima ácida), Mandarina, Flor de azahar del naranjo, Flor de la adelfa blanca, Hojas de higuera, Ciprés, Cedro rojo japonés, Enebro de virginia, Pistacho (pistache), Almizcle"
